package,versions,declared_license,source
@radix-ui/react-direction,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-dismissable-layer,1.1.19,MIT,https://radix-ui.com/primitives
@radix-ui/react-dropdown-menu,2.1.24,MIT,https://radix-ui.com/primitives
@radix-ui/react-focus-guards,1.1.6,MIT,https://radix-ui.com/primitives
@radix-ui/react-focus-scope,1.1.16,MIT,https://radix-ui.com/primitives
@radix-ui/react-id,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-menu,2.1.24,MIT,https://radix-ui.com/primitives
@radix-ui/react-popper,1.3.7,MIT,https://radix-ui.com/primitives
@radix-ui/react-portal,1.1.17,MIT,https://radix-ui.com/primitives
@radix-ui/react-presence,1.1.10,MIT,https://radix-ui.com/primitives
@radix-ui/react-primitive,2.1.10,MIT,https://radix-ui.com/primitives
@radix-ui/react-roving-focus,1.1.19,MIT,https://radix-ui.com/primitives
@radix-ui/react-select,2.3.7,MIT,https://radix-ui.com/primitives
@radix-ui/react-slot,1.3.3,MIT,https://radix-ui.com/primitives
@radix-ui/react-tabs,1.1.21,MIT,https://radix-ui.com/primitives
@radix-ui/react-tooltip,1.2.16,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-callback-ref,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-controllable-state,1.2.6,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-effect-event,0.0.5,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-is-hydrated,0.1.3,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-layout-effect,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-previous,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-rect,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-use-size,1.1.4,MIT,https://radix-ui.com/primitives
@radix-ui/react-visually-hidden,1.2.11,MIT,https://radix-ui.com/primitives
@radix-ui/rect,1.1.3,MIT,https://radix-ui.com/primitives
@reduxjs/toolkit,2.12.0,MIT,https://redux-toolkit.js.org
@rolldown/binding-darwin-arm64,1.2.7,MIT,https://rolldown.rs/
@rolldown/pluginutils,1.0.1,MIT,https://github.com/rolldown/plugins/tree/main/packages/pluginutils#readme
@scalar/core,0.3.45,MIT,https://github.com/scalar/scalar
@scalar/helpers,0.2.18,MIT,https://github.com/scalar/scalar
@scalar/nextjs-api-reference,0.9.26,MIT,https://github.com/scalar/scalar
@scalar/types,0.6.10,MIT,https://github.com/scalar/scalar
@sec-ant/readable-stream,0.4.1,MIT,https://github.com/Sec-ant/readable-stream
@sindresorhus/is,7.2.0,MIT,https://github.com/sindresorhus/is#readme
@sindresorhus/merge-streams,4.0.0,MIT,https://github.com/sindresorhus/merge-streams#readme
@stablelib/base64,1.0.1,MIT,https://github.com/StableLib/stablelib/tree/master/packages/base64
@standard-schema/spec,1.0.0;1.1.0,MIT,https://standardschema.dev
@standard-schema/utils,0.3.0,MIT,https://github.com/standard-schema/standard-schema#readme
@sveltejs/load-config,0.2.3,MIT,https://github.com/sveltejs/language-tools#readme
@swc/cli,0.8.1,MIT,https://github.com/swc-project/pkgs
@tanstack/query-core,5.102.8,MIT,https://tanstack.com/query
@tanstack/react-query,5.102.8,MIT,https://tanstack.com/query
@tanstack/react-table,8.21.3,MIT,https://tanstack.com/table
@tanstack/table-core,8.21.3,MIT,https://tanstack.com/table
@tokenizer/inflate,0.4.1,MIT,https://github.com/Borewit/tokenizer-inflate#readme
@tokenizer/token,0.3.0,MIT,https://github.com/Borewit/tokenizer-token#readme
@types/aws-lambda,8.10.163,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/aws-lambda
@types/chai,5.2.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/chai
@types/d3-array,3.2.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-array
@types/d3-color,3.1.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-color
@types/d3-ease,3.0.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-ease
@types/d3-interpolate,3.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-interpolate
@types/d3-path,3.1.1,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-path
@types/d3-scale,4.0.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-scale
@types/d3-shape,3.2.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-shape
@types/d3-time,3.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-time
@types/d3-timer,3.0.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/d3-timer
@types/debug,4.1.13,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/debug
@types/deep-eql,4.0.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/deep-eql
@types/estree,1.0.9,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree
@types/estree-jsx,1.0.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/estree-jsx
@types/hast,3.0.5,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/hast
@types/http-cache-semantics,4.2.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/http-cache-semantics
@types/json-schema,7.0.15,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/json-schema
@types/mdast,4.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/mdast
@types/ms,2.1.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/ms
@types/node,24.13.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node
@types/react,19.2.18,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react
@types/react-dom,19.2.7,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom
@types/unist,2.0.11;3.0.3,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/unist
@types/use-sync-external-store,0.0.6,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/use-sync-external-store
@uiw/codemirror-extensions-basic-setup,4.25.11,MIT,https://uiwjs.github.io/react-codemirror/#/extensions/basic-setup
@uiw/react-codemirror,4.25.11,MIT,https://uiwjs.github.io/react-codemirror
@vercel/queue,0.3.1,MIT,
@vitest/expect,4.1.11,MIT,https://vitest.dev/api/expect
@vitest/mocker,4.1.11,MIT,https://github.com/vitest-dev/vitest/tree/main/packages/mocker
@vitest/pretty-format,4.1.11,MIT,https://github.com/vitest-dev/vitest/tree/main/packages/pretty-format
@vitest/runner,4.1.11,MIT,https://vitest.dev/api/advanced/runner
@vitest/snapshot,4.1.11,MIT,https://vitest.dev/guide/snapshot
@vitest/spy,4.1.11,MIT,https://vitest.dev/api/mock
@vitest/utils,4.1.11,MIT,https://github.com/vitest-dev/vitest/tree/main/packages/utils
@xhmikosr/archive-type,8.1.0,MIT,https://github.com/XhmikosR/archive-type#readme
@xhmikosr/bin-check,8.2.2,MIT,https://github.com/XhmikosR/bin-check#readme
@xhmikosr/bin-wrapper,14.5.1,MIT,https://github.com/XhmikosR/bin-wrapper#readme
@xhmikosr/decompress,11.1.4,MIT,https://github.com/XhmikosR/decompress#readme
@xhmikosr/decompress-tar,9.0.2,MIT,https://github.com/XhmikosR/decompress-tar#readme
@xhmikosr/decompress-tarbz2,9.0.2,MIT,https://github.com/XhmikosR/decompress-tarbz2#readme
@xhmikosr/decompress-targz,9.0.1,MIT,https://github.com/XhmikosR/decompress-targz#readme
@xhmikosr/decompress-unzip,8.2.1,MIT,https://github.com/XhmikosR/decompress-unzip#readme
@xhmikosr/downloader,16.3.1,MIT,https://github.com/XhmikosR/download#readme
